TRACTCE,make_sqm,make_dec,serv_sqm,serv_dec,prof_sqm,prof_dec,supp_sqm,supp_dec,make_c,serv_c,prof_c,supp_c,make_15,serv_15,prof_15,supp_15,make_02,serv_02,prof_02,supp_02
303202,0.00002693221188,6,0.000063657955353,5,0.000028020382057,5,0.000055496679026,3,-0.015832684563358,-0.613755635478725,-0.024832185238945,0.623192524308919,0.72130620590162,1.383444141584338,0.67625445121491,1.125229269234482,0.737138890464978,1.997199777063063,0.701086636453855,0.502036744925563
320003,0.000191944840931,7,0.000857728410519,8,0.000264225324963,8,0.000087539697328,1,-1.784029360819248,2.151831014517543,-0.504487673417217,0.122098324892268,0.638655884082728,2.315802756730406,0.792233773320786,0.220506752687784,2.422685244901976,0.163971742212863,1.296721446738003,0.098408427795516
392300,0.000520388551152,9,0.000074814732559,3,0.00050665673315,9,0.000254275388506,7,1.074151709305867,-1.806638492549025,1.089336915984275,-0.04366558489259,1.789324576007855,0.208741989562456,1.569869854748503,0.661899570137931,0.715172866701988,2.015380482111481,0.480532938764228,0.705565155030521
370000,0.000017503137403,1,0.000121549565299,3,0.000022365120015,2,0.000163362615761,2,0.079885303536449,0.100990448412881,-1.214284768881142,0.681307488289119,0.251298841468174,1.41608489849464,0.289357174637622,1.775634774980796,0.171413537931725,1.315094450081759,1.503641943518764,1.094327286691677
152000,0.000198959345549,7,0.002056437504385,9,0.001783556504759,9,0.001300706551531,9,0.051196045557245,0.055392801913819,0.522317712177492,-0.757617803128968,0.173746152035213,1.457228525707456,1.403544420017253,0.859917045858134,0.122550106477968,1.401835723793637,0.881226707839761,1.617534848987102
306003,0.000029011823167,4,0.000121068569756,4,0.00004072813637,4,0.000217030754079,6,-0.34148242579302,-0.432585800804242,0.139530656232058,0.464595720567155,0.331703775544859,1.123228468105001,0.419622115744632,1.878551265179426,0.673186201337879,1.555814268909243,0.280091459512574,1.413955544612271
313205,0.000001341120711,0,0.000016764008892,1,0.000007376163913,1,0.000052303707743,0,-0.243910281568968,0.056809820074465,-1.75846036713069,1.447700008323543,0.080396372653611,0.815469579477948,0.398462616048959,2.373708803253268,0.324306654222579,0.758659759403483,2.156922983179649,0.926008794929725
333101,0.0000135885245,2,0.000163584929558,5,0.000019860151192,3,0.000075782155866,2,-0.284063735611545,1.448044746325857,-0.930016784741942,-0.508375560897383,0.232256187665988,2.268817585569757,0.305890493128494,0.980591955759897,0.516319923277533,0.8207728392439,1.235907277870436,1.48896751665728
333102,0.00004091199291,5,0.00002608139548,1,0.000036309393707,4,0.000121713178906,4,0.724098005519174,0.236546002095547,0.428538473189866,-1.537738248148015,0.847816293438084,0.438574366562867,0.678045063177527,1.909479972034273,0.12371828791891,0.20202836446732,0.249506589987661,3.447218220182288
152100,0.000077766547449,7,0.000328552159047,7,0.000132985397709,7,0.003902132085039,9,-0.1157790011765,-0.535328547809725,-1.834063810652678,1.922040231452196,0.08164579825432,0.279902413803073,0.12581528783884,3.101482721243074,0.19742479943082,0.815230961612798,1.959879098491518,1.179442489790878
151900,0.000072384847865,5,0.000185549891709,4,0.00026609077877,7,0.000251817710177,4,-0.169782944832637,0.293075926866937,-1.403606489122232,0.98513321805181,0.435048965292473,0.904924770666935,1.441148508361999,1.14578497642799,0.60483191012511,0.611848843799998,2.844754997484231,0.16065175837618
201004,0.000004150118241,1,0.000027541693779,2,0.000006036535623,1,0.000042255749359,1,-2.038788928893005,0.533184997732654,-0.069733176473592,1.429833412970604,0.241947574306623,1.30290498094703,0.317129766460921,1.864974889445238,2.280736503199628,0.769719983214376,0.386862942934513,0.435141476474634
201601,0.000214996279552,9,0.000151863697828,8,0.000055437316787,8,0.000054652085671,5,1.566760183412083,-1.495812810276596,0.388913245639263,-0.116915197917081,2.101953500639464,1.204779106607841,0.488408034303373,0.404506289817583,0.535193317227381,2.700591916884437,0.09949478866411,0.521421487734664
200301,0.00010329380097,7,0.000535061889025,9,0.000072305660679,7,0.000079191914077,3,0.388886090648242,2.240395165820227,-1.895529660257585,-1.028294621512535,0.609806837041342,2.56320502659133,0.384661541053842,0.35393641646434,0.2209207463931,0.322809860771103,2.280191201311427,1.382231037976875
200505,0.000017180723894,1,0.000059471736556,1,0.000030396665351,2,0.000109692314092,0,0.169918575923211,0.360003329995602,0.186740917916427,-0.94145801750209,0.369627225492823,1.038232001188997,0.589300587371743,1.786590709640593,0.199708649569612,0.678228671193395,0.402559669455316,2.728048727142683
200707,0.00003087091913,4,0.000209385364531,5,0.000002013320813,0,0.000281864913791,6,-1.866793565857446,0.507353843884001,-0.336914820720648,1.531007337810901,0.274644714775717,1.511573624607727,0.016140727550348,1.898405937399443,2.141438280633163,1.004219780723726,0.353055548270996,0.367398599588542
201602,0.000133395628838,8,0.000129644345687,8,0.000033911599682,7,0.000094832438049,7,1.235275231943844,0.992823564685561,0.100027070224865,-2.276869541777535,1.587666705004025,1.252081549346577,0.363709339589134,0.854478290978521,0.352391473060181,0.259257984661016,0.263682269364269,3.131347832756056
201007,0.000011429382976,1,0.000018287012761,0,0.00000457175319,0,0.000110484035432,2,-0.441911977781849,0.341377609843252,-0.026053717995511,-0.174734026381666,0.368130758992852,0.47795101247718,0.132693770703386,2.694047373192981,0.810042736774701,0.136573402633928,0.158747488698897,2.868781399574647
